x0-1,y0-1,z0-1,x1-1,y1-1,z1-1,x2-1,y2-1,z2-1,x3-1,y3-1,z3-1,x4-1,y4-1,z4-1,x5-1,y5-1,z5-1,x6-1,y6-1,z6-1,x7-1,y7-1,z7-1,x8-1,y8-1,z8-1,x9-1,y9-1,z9-1,x10-1,y10-1,z10-1,x11-1,y11-1,z11-1,x12-1,y12-1,z12-1,x13-1,y13-1,z13-1,x14-1,y14-1,z14-1,x15-1,y15-1,z15-1,x16-1,y16-1,z16-1,x17-1,y17-1,z17-1,x18-1,y18-1,z18-1,x19-1,y19-1,z19-1,x20-1,y20-1,z20-1,label
0.562005997,0.579673767,-2.19E-09,0.499436826,0.550195456,-0.046717852,0.428541511,0.475406319,-0.068278745,0.363524616,0.422263026,-0.086687066,0.318289399,0.411163807,-0.09857697,0.462078273,0.377382636,-0.022547275,0.456924647,0.315727949,-0.045620743,0.475365907,0.380875707,-0.048309557,0.480148435,0.405896068,-0.049549285,0.508098543,0.371778965,-0.019073116,0.498212278,0.325936764,-0.058413193,0.506453335,0.417170972,-0.066199653,0.504828215,0.427464277,-0.060121752,0.551633,0.376232296,-0.022646569,0.546856701,0.340026915,-0.059684515,0.544991195,0.427393824,-0.060202669,0.540263057,0.438126624,-0.048604038,0.589832485,0.387793899,-0.032040674,0.590600848,0.349047422,-0.047714327,0.581136048,0.41173774,-0.047229014,0.57543689,0.428990006,-0.041084591,Previous
0.59693414,0.578687906,-2.28E-09,0.533353269,0.55026257,-0.036910061,0.467171222,0.479921341,-0.054683141,0.408484519,0.432939917,-0.071114197,0.366522253,0.421708137,-0.081159532,0.502950132,0.387513459,-0.01158125,0.493008703,0.327824086,-0.031585645,0.50718236,0.398833126,-0.032491159,0.510233581,0.430038393,-0.031965178,0.545095026,0.382129878,-0.011391211,0.533171296,0.335062265,-0.047777679,0.542093158,0.425545543,-0.055059157,0.541787982,0.439801544,-0.048207611,0.585731447,0.385524362,-0.017448721,0.575852036,0.348787069,-0.050321814,0.576735973,0.432910204,-0.049054425,0.576159656,0.446700335,-0.036530282,0.622638941,0.394054502,-0.028449336,0.616709054,0.353416234,-0.040160421,0.610765874,0.412753195,-0.037205748,0.610011995,0.431206852,-0.029545166,Previous
0.582776308,0.571991265,-1.95E-09,0.523672044,0.54809916,-0.038070872,0.459607333,0.477326363,-0.056835096,0.402573079,0.431985199,-0.073544465,0.360846579,0.41972971,-0.083989166,0.489434659,0.390502304,-0.017034031,0.478580743,0.327900738,-0.036975726,0.492708921,0.398861766,-0.037052535,0.496506304,0.4298127,-0.035789866,0.530375898,0.384236574,-0.014984064,0.517647266,0.333201051,-0.051024087,0.527498603,0.421821147,-0.057125486,0.528228343,0.435287863,-0.049402427,0.570217967,0.386018038,-0.018734181,0.559677303,0.344664514,-0.050408736,0.561879694,0.426680595,-0.048163738,0.56205821,0.44158715,-0.035124078,0.607141852,0.392819107,-0.027306614,0.600543201,0.348284483,-0.038287088,0.594931126,0.40491724,-0.034999147,0.593785584,0.423809767,-0.027117165,Previous
0.585027695,0.583986402,-2.26E-09,0.524459541,0.55927515,-0.032867879,0.457138807,0.493320554,-0.050577264,0.397713572,0.450392276,-0.067588136,0.355641246,0.44047299,-0.078360274,0.486869007,0.404245853,-0.012727601,0.471737742,0.345619887,-0.031872239,0.487322628,0.410333931,-0.031553864,0.492489755,0.441236228,-0.030466726,0.52700454,0.394628286,-0.014592579,0.511153102,0.351293892,-0.049786333,0.522497296,0.436181426,-0.054827694,0.524131894,0.450084895,-0.047010876,0.566691041,0.394603431,-0.022035405,0.555158675,0.360384762,-0.053229742,0.558758259,0.439859092,-0.049834374,0.559053361,0.451660663,-0.036636099,0.604282916,0.401513875,-0.034036763,0.596062124,0.361768216,-0.044647936,0.591753542,0.417449653,-0.040504161,0.592143297,0.433620065,-0.032459941,Previous
0.57497859,0.582193971,-3.05E-09,0.509446561,0.560890615,-0.039763689,0.436107099,0.488839447,-0.058728606,0.371421456,0.441910803,-0.075911865,0.325569212,0.432066739,-0.086461812,0.462998003,0.396702826,-0.01591941,0.448520333,0.332452774,-0.036236294,0.470039159,0.403108448,-0.03592914,0.478398114,0.432691365,-0.03475548,0.50562036,0.385915577,-0.014643044,0.490444005,0.333307475,-0.051796447,0.505965233,0.424650341,-0.057982221,0.508131206,0.43874836,-0.050104149,0.547740638,0.383818984,-0.019801032,0.536187649,0.339806169,-0.053101975,0.542894781,0.42576468,-0.050719224,0.543657541,0.440501481,-0.037157658,0.587272704,0.388668895,-0.030129792,0.579681575,0.34122625,-0.041963153,0.577596664,0.401358098,-0.038653895,0.578135133,0.420512021,-0.0304853,Previous
0.555564046,0.589840114,-3.31E-09,0.489278942,0.565489769,-0.045454089,0.41405499,0.492471993,-0.065034665,0.34551543,0.444662243,-0.081249483,0.299181521,0.435306847,-0.090367004,0.446687937,0.393404007,-0.018598501,0.430774063,0.332087219,-0.038031358,0.451265514,0.407668293,-0.036718886,0.45884344,0.436634034,-0.034912914,0.491049677,0.383893907,-0.014327765,0.473293424,0.333579212,-0.051362894,0.487727493,0.42867595,-0.057025243,0.490715057,0.441634446,-0.048401654,0.534230173,0.383899927,-0.016918767,0.52106452,0.342221856,-0.050968699,0.525686502,0.429936767,-0.049218129,0.527820468,0.442742139,-0.035478402,0.573163629,0.390951008,-0.025124766,0.565169334,0.344215482,-0.037707817,0.560985267,0.405826181,-0.035245847,0.562408507,0.423996627,-0.027343726,Previous
0.570728004,0.594691813,-3.45E-09,0.502212822,0.571397126,-0.040611081,0.427453667,0.49644053,-0.059305765,0.362535447,0.444467843,-0.075819567,0.316043794,0.433596641,-0.085281394,0.46047321,0.396861523,-0.017719276,0.442580909,0.331537127,-0.037541389,0.464600593,0.406759709,-0.035505801,0.474620342,0.437447995,-0.033245653,0.504556358,0.385709584,-0.016522072,0.484168291,0.333799213,-0.054164398,0.499526173,0.430211902,-0.058655899,0.504859507,0.443569988,-0.049219888,0.547798336,0.385033965,-0.021690274,0.53269726,0.343557775,-0.05561763,0.538069844,0.433708072,-0.051788799,0.54246074,0.446685612,-0.036913309,0.588053107,0.391570151,-0.032229662,0.577761352,0.34610644,-0.04420555,0.573217511,0.408837169,-0.040273249,0.576027572,0.426197708,-0.031500429,Previous
0.578770995,0.518713415,-5.06E-09,0.503326178,0.485995829,-0.028402705,0.426082641,0.404336512,-0.045988061,0.360609055,0.34934929,-0.065555535,0.311283648,0.338042408,-0.078308783,0.466301858,0.30071938,-0.007384559,0.444431126,0.225973114,-0.027603667,0.461636901,0.307506979,-0.025133476,0.473808259,0.350122899,-0.022168402,0.512223959,0.290103197,-0.014872971,0.493623108,0.226433009,-0.056578547,0.507249951,0.33308515,-0.062398732,0.516611099,0.363738894,-0.052254319,0.559918344,0.290118039,-0.027576918,0.544751704,0.236887068,-0.063038588,0.549318016,0.338035315,-0.056811459,0.556535482,0.366241902,-0.039728034,0.607789397,0.299173117,-0.045089006,0.595867991,0.239663631,-0.055543914,0.588998318,0.308152735,-0.048123587,0.592609346,0.337409973,-0.036954377,Previous
0.588616788,0.542362094,-4.77E-09,0.507794738,0.497473657,-0.026276482,0.432147563,0.407207489,-0.046154805,0.365209013,0.343946636,-0.068922594,0.31140995,0.325727373,-0.084194526,0.483336568,0.294758707,-0.010212804,0.459684074,0.208576918,-0.033473134,0.471389353,0.299631357,-0.03020498,0.482355535,0.345088124,-0.026309166,0.531320572,0.286936313,-0.02144002,0.509126127,0.214803085,-0.067747705,0.517307699,0.332752198,-0.072050288,0.527505636,0.360968947,-0.059542213,0.582715631,0.291047752,-0.037688702,0.563594282,0.229669631,-0.07631252,0.562541902,0.340099692,-0.06605608,0.57273227,0.369353175,-0.04535399,0.634168863,0.305486023,-0.058808737,0.62076056,0.233914644,-0.070242904,0.606812179,0.306206197,-0.05996095,0.611028969,0.337991655,-0.04626286,Previous
0.591217399,0.621790767,-6.70E-09,0.504624188,0.573799372,-0.035138823,0.419250667,0.470716536,-0.05846604,0.344717264,0.403538853,-0.083317898,0.285623491,0.384571403,-0.099755235,0.472221404,0.354210377,-0.018267818,0.440784603,0.273608565,-0.045938201,0.459312916,0.372775733,-0.044054557,0.476138502,0.414267302,-0.04065096,0.526303411,0.345196247,-0.026857637,0.49568066,0.277590007,-0.078777693,0.510125995,0.402723283,-0.083948724,0.524985969,0.425020367,-0.07078819,0.582478464,0.34988755,-0.041503891,0.555908203,0.292721897,-0.084564663,0.557910144,0.410340309,-0.073435307,0.571787894,0.435825467,-0.050885908,0.638379991,0.364212751,-0.061981659,0.617961049,0.298049271,-0.074483603,0.605448484,0.376553178,-0.063205056,0.613422215,0.404488057,-0.048342228,Previous
